CustomerID,Age,Gender,City,SubscriptionType,MonthlySpending,Tenure,NumberOfPurchases,SupportRequests,LoginFrequency,LastActivityDays,SatisfactionScore,Churn
CUST0035,36,Male,Quetta,Premium,2978.0,46,79,10,17,85,1.0,Yes
CUST0036,70,Female,Karachi,Basic,1445.0,17,14,8,5,36,5.0,Yes
CUST0037,56,Male,Multan,Basic,5695.0,44,34,8,16,6,5.0,No
CUST0038,23,Female,Faisalabad,Basic,3232.0,1,99,2,21,20,5.0,No
CUST0039,65,Female,Peshawar,Premium,1416.0,1,10,2,18,47,1.0,Yes
CUST0040,55,Male,Peshawar,Basic,3025.0,3,47,0,29,26,6.0,No
CUST0041,61,Male,Karachi,Standard,5086.0,50,53,9,24,30,3.0,Yes
CUST0042,28,Male,Peshawar,Basic,6533.0,12,43,6,26,34,4.0,Yes
CUST0043,28,Male,Peshawar,Basic,4355.0,55,29,3,27,44,8.0,No
CUST0044,37,Male,Rawalpindi,Basic,2082.0,43,52,5,9,35,2.0,Yes
CUST0045,40,Female,Multan,Basic,7684.0,8,34,2,19,4,5.0,No
CUST0046,24,Female,Multan,Premium,3069.0,51,56,9,17,49,2.0,Yes
CUST0047,54,Male,Faisalabad,Basic,4072.0,46,1,8,30,87,9.0,No
CUST0048,64,Male,Multan,Standard,5941.0,5,43,9,11,38,2.0,Yes
CUST0049,50,Female,Peshawar,Standard,6211.0,26,38,8,5,53,4.0,Yes
CUST0050,60,Female,Islamabad,Premium,2965.0,37,52,8,27,38,1.0,Yes
CUST0051,36,Male,Peshawar,Premium,5863.0,39,42,7,15,86,8.0,No
CUST0052,31,Female,Islamabad,Premium,2824.0,6,66,10,21,42,10.0,Yes
CUST0053,23,Male,Faisalabad,Basic,2131.0,52,19,0,2,60,4.0,Yes
CUST0054,57,Male,Quetta,Standard,5659.0,57,74,3,23,63,7.0,No
CUST0055,43,Male,Islamabad,Premium,545.0,45,97,1,25,28,7.0,No
CUST0056,29,Female,Lahore,Premium,7449.0,16,16,7,5,85,8.0,Yes
CUST0057,51,Female,Quetta,Premium,,53,65,6,27,57,9.0,No
CUST0058,28,Female,Quetta,Standard,2525.0,49,82,4,25,62,9.0,No
CUST0059,58,Male,Faisalabad,Standard,6345.0,5,37,3,9,40,6.0,No
CUST0060,52,Male,Islamabad,Basic,3637.0,15,89,2,23,8,4.0,No
CUST0061,44,Female,Multan,Premium,3906.0,30,8,3,27,49,7.0,No
CUST0062,67,Male,Peshawar,Standard,3381.0,1,39,6,28,68,7.0,Yes
CUST0063,65,Male,Quetta,Basic,4070.0,18,63,0,13,85,6.0,No
CUST0064,61,Female,Islamabad,Standard,1545.0,59,80,8,1,75,7.0,Yes
CUST0065,54,Male,Karachi,Premium,1611.0,28,60,2,2,48,5.0,No
CUST0066,38,Male,Quetta,Standard,,22,49,4,25,32,7.0,No
CUST0067,23,Female,Lahore,Premium,926.0,35,45,3,21,83,2.0,Yes
CUST0068,20,Male,Rawalpindi,Basic,666.0,54,80,2,8,60,3.0,Yes
CUST0069,60,Male,Rawalpindi,Standard,2599.0,45,99,5,6,77,10.0,No
CUST0070,65,Male,Islamabad,Standard,5240.0,7,4,4,19,50,7.0,No
CUST0071,63,Male,Karachi,Premium,7304.0,45,81,3,4,87,,No
CUST0072,56,Male,Lahore,Standard,4009.0,35,85,5,3,82,9.0,No
CUST0073,39,Male,Peshawar,Standard,4051.0,7,47,10,29,90,8.0,No
CUST0074,27,Female,Islamabad,Premium,5828.0,34,35,9,26,61,9.0,No
CUST0075,47,Female,Faisalabad,Standard,2511.0,55,12,4,29,31,8.0,No
CUST0076,66,Female,Peshawar,Standard,4549.0,2,42,2,16,45,4.0,Yes
CUST0077,69,Female,Multan,Standard,5383.0,57,90,4,18,66,1.0,No
CUST0078,30,Male,Rawalpindi,Premium,4502.0,27,72,3,23,82,8.0,No
CUST0079,63,Female,Quetta,Basic,2910.0,6,29,6,23,39,4.0,Yes
CUST0080,60,Female,Quetta,Premium,3316.0,34,55,8,11,89,6.0,No
CUST0081,47,Female,Faisalabad,Standard,1488.0,15,93,3,11,68,2.0,Yes
CUST0082,66,Male,Rawalpindi,Basic,4466.0,48,36,9,25,76,9.0,No
CUST0083,36,Male,Rawalpindi,Standard,3456.0,15,23,4,1,16,9.0,No
CUST0084,35,Male,Lahore,Premium,6213.0,19,17,10,28,13,8.0,No
CUST0085,18,Female,Quetta,Standard,3291.0,29,24,0,9,14,8.0,No
CUST0086,70,Male,Peshawar,Standard,5226.0,5,81,10,2,19,3.0,Yes
CUST0087,69,Female,Karachi,Basic,5071.0,8,98,6,20,79,10.0,No
CUST0088,32,Female,Quetta,Standard,7546.0,20,76,6,10,79,10.0,No
CUST0089,21,Male,Rawalpindi,Premium,2667.0,14,85,1,6,22,4.0,No
CUST0090,53,Male,Islamabad,Basic,4190.0,27,89,9,16,4,5.0,No
CUST0091,32,Female,Faisalabad,Premium,4219.0,56,10,10,8,80,5.0,No
CUST0092,55,Male,Peshawar,Basic,2341.0,35,83,2,30,18,5.0,No
CUST0093,22,Male,Islamabad,Standard,6635.0,39,73,4,15,59,2.0,No
CUST0094,62,Female,Peshawar,Standard,4923.0,33,64,7,3,5,10.0,No
CUST0095,45,Female,Faisalabad,Basic,2375.0,6,87,9,19,86,1.0,Yes
CUST0096,70,Female,Lahore,Basic,4751.0,31,84,7,30,23,5.0,No
CUST0097,55,Female,Quetta,Basic,3350.0,31,53,5,11,20,2.0,No
CUST0098,39,Female,Quetta,Standard,3780.0,43,98,8,2,11,8.0,No
CUST0099,38,Female,Multan,Basic,3811.0,50,66,0,22,59,9.0,No
CUST0100,44,Male,Rawalpindi,Premium,,24,97,7,21,6,8.0,No
CUST0101,31,Female,Islamabad,Standard,7715.0,29,90,7,4,80,1.0,Yes
CUST0102,56,Male,Islamabad,Standard,612.0,36,71,6,3,14,4.0,Yes
CUST0103,47,Male,Islamabad,Standard,6370.0,60,38,8,23,53,5.0,No
CUST0104,48,Female,Rawalpindi,Standard,1684.0,36,50,3,30,65,10.0,No
CUST0105,65,Male,Karachi,Standard,6971.0,50,54,5,30,34,9.0,No
CUST0106,70,Male,Faisalabad,Premium,7360.0,20,76,9,22,19,8.0,No
CUST0107,46,Female,Multan,Standard,6749.0,36,70,6,15,24,6.0,No
CUST0108,62,Male,Peshawar,Basic,6853.0,55,53,0,11,90,8.0,No
CUST0109,69,Female,Peshawar,Premium,7223.0,51,84,2,16,16,1.0,No
CUST0110,50,Female,Karachi,Standard,4808.0,7,59,0,24,52,,Yes
CUST0111,59,Male,Karachi,Standard,2671.0,51,44,9,23,83,7.0,No
CUST0112,23,Female,Peshawar,Standard,6387.0,41,98,7,28,4,9.0,No
CUST0113,57,Male,Rawalpindi,Premium,2854.0,44,30,1,14,81,2.0,Yes
CUST0114,63,Male,Quetta,Basic,2953.0,45,4,0,11,37,1.0,Yes
CUST0115,40,Female,Peshawar,Basic,4851.0,16,53,9,22,21,3.0,Yes
CUST0116,29,Male,Peshawar,Premium,2472.0,44,64,9,5,59,4.0,Yes
CUST0117,58,Female,Quetta,Standard,576.0,43,60,4,22,20,9.0,No
CUST0118,22,Female,Multan,Premium,5734.0,20,55,4,15,25,5.0,No
CUST0119,42,Female,Karachi,Basic,5185.0,25,46,9,10,2,5.0,No
CUST0120,60,Female,Faisalabad,Basic,7586.0,37,88,0,30,63,10.0,No
CUST0121,36,Male,Multan,Basic,2057.0,41,80,4,22,80,3.0,Yes
CUST0122,24,Male,Faisalabad,Standard,5247.0,3,47,2,3,41,5.0,No
CUST0123,65,Female,Islamabad,Basic,6943.0,9,70,5,17,34,9.0,No
CUST0124,28,Female,Quetta,Standard,7630.0,48,44,1,15,18,2.0,No
CUST0125,66,Male,Peshawar,Premium,1239.0,24,51,0,9,15,9.0,No
CUST0126,47,Female,Faisalabad,Premium,7237.0,25,82,5,4,60,4.0,Yes
CUST0127,19,Female,Rawalpindi,Premium,5705.0,5,60,4,21,14,7.0,No
CUST0128,26,Male,Lahore,Standard,1451.0,32,13,3,29,17,9.0,No
CUST0129,42,Female,Multan,Premium,,48,70,6,19,53,3.0,Yes
CUST0130,59,Male,Quetta,Premium,2791.0,27,5,5,7,56,8.0,No
CUST0131,33,Female,Karachi,Premium,4960.0,24,83,5,2,35,7.0,No
CUST0132,30,Male,Quetta,Basic,2237.0,43,83,10,20,6,1.0,Yes
CUST0133,68,Female,Rawalpindi,Basic,5125.0,51,27,1,27,26,9.0,No
CUST0134,55,Male,Rawalpindi,Standard,1708.0,50,77,0,9,16,3.0,No
CUST0135,52,Female,Islamabad,Basic,7597.0,43,4,2,1,30,6.0,No
CUST0136,55,Female,Lahore,Basic,929.0,17,17,6,17,8,2.0,Yes
CUST0137,48,Female,Multan,Premium,1393.0,38,58,8,8,5,10.0,No
CUST0138,64,Female,Quetta,Premium,998.0,2,62,6,14,62,2.0,Yes
CUST0139,63,Female,Karachi,Basic,5483.0,21,19,1,5,79,5.0,No
CUST0140,58,Female,Peshawar,Premium,2915.0,34,59,8,20,12,7.0,No
CUST0141,68,Male,Rawalpindi,Standard,7775.0,29,30,6,11,51,8.0,No
CUST0142,44,Male,Multan,Standard,5948.0,21,33,5,5,8,8.0,No
CUST0143,23,Male,Karachi,Standard,6599.0,7,95,5,26,71,3.0,No
CUST0144,21,Female,Karachi,Standard,7656.0,23,86,6,28,36,1.0,Yes
CUST0145,56,Female,Multan,Basic,4656.0,37,28,2,22,28,8.0,No
CUST0146,24,Female,Multan,Basic,2782.0,49,74,3,26,71,7.0,No
CUST0147,67,Male,Faisalabad,Basic,2738.0,12,90,4,30,44,6.0,No
CUST0148,18,Male,Islamabad,Premium,3783.0,43,9,2,24,11,1.0,No
CUST0149,65,Male,Peshawar,Standard,3292.0,30,21,5,10,72,6.0,No
CUST0150,56,Male,Lahore,Basic,6680.0,11,80,0,22,34,2.0,No
CUST0151,46,Female,Quetta,Premium,3892.0,29,35,3,25,14,9.0,No
CUST0152,40,Female,Karachi,Standard,6058.0,44,76,7,17,5,5.0,No
CUST0153,32,Female,Lahore,Basic,2969.0,14,28,2,25,37,5.0,No
CUST0154,38,Male,Lahore,Standard,4027.0,48,23,2,13,90,9.0,No
CUST0155,32,Female,Karachi,Standard,6578.0,56,6,6,1,9,8.0,No
CUST0156,38,Female,Peshawar,Premium,3921.0,41,38,1,13,41,1.0,Yes
CUST0157,28,Female,Multan,Basic,7418.0,28,14,3,14,51,10.0,No
CUST0158,51,Male,Peshawar,Standard,3281.0,48,29,5,25,9,3.0,No
CUST0159,50,Male,Rawalpindi,Standard,6458.0,23,83,2,8,18,2.0,No
CUST0160,34,Male,Islamabad,Premium,6727.0,10,98,10,3,80,3.0,Yes
CUST0161,49,Female,Quetta,Premium,7725.0,60,73,10,21,41,10.0,No
CUST0162,58,Female,Islamabad,Standard,4341.0,5,57,10,10,75,5.0,Yes
CUST0163,21,Female,Karachi,Standard,4202.0,30,5,0,12,9,5.0,No
CUST0164,59,Male,Peshawar,Standard,5040.0,38,95,0,15,83,10.0,No
CUST0165,30,Female,Quetta,Premium,1006.0,10,58,1,26,10,6.0,No
CUST0166,50,Male,Lahore,Basic,4086.0,46,57,8,17,20,,No
CUST0167,41,Female,Faisalabad,Standard,6844.0,27,44,10,20,80,1.0,Yes
CUST0168,59,Female,Karachi,Standard,5070.0,7,87,6,10,84,5.0,No
CUST0169,56,Male,Multan,Basic,5936.0,38,19,5,10,16,7.0,No
CUST0170,56,Male,Faisalabad,Premium,5771.0,25,43,2,22,11,9.0,No
CUST0171,59,Female,Multan,Basic,3030.0,24,24,3,11,24,8.0,No
CUST0172,32,Male,Islamabad,Basic,7417.0,19,13,8,25,67,9.0,No
CUST0173,20,Female,Islamabad,Premium,1763.0,25,21,2,27,21,10.0,No
CUST0174,64,Female,Lahore,Standard,6040.0,24,93,3,15,36,10.0,No
CUST0175,66,Female,Rawalpindi,Premium,3035.0,16,61,3,12,56,10.0,No
CUST0176,47,Female,Peshawar,Premium,3929.0,34,21,3,26,17,10.0,No
CUST0177,34,Male,Quetta,Standard,1340.0,36,92,8,28,36,2.0,Yes
CUST0178,23,Male,Faisalabad,Standard,4705.0,58,19,6,3,57,4.0,Yes
CUST0179,40,Male,Peshawar,Basic,4612.0,26,48,3,13,47,2.0,Yes
CUST0180,32,Male,Multan,Basic,6354.0,54,84,5,26,17,3.0,No
CUST0181,20,Female,Quetta,Premium,1636.0,54,98,7,15,0,10.0,No
CUST0182,23,Male,Faisalabad,Basic,1724.0,54,71,9,17,14,7.0,No
CUST0183,67,Female,Rawalpindi,Standard,891.0,8,31,6,21,58,10.0,No
CUST0184,22,Male,Quetta,Premium,634.0,35,81,8,19,18,4.0,Yes
CUST0185,36,Female,Lahore,Premium,2470.0,23,74,6,6,67,2.0,Yes
CUST0186,41,Male,Lahore,Standard,4351.0,56,6,10,13,32,6.0,No
CUST0187,65,Male,Multan,Basic,2475.0,23,94,10,21,74,2.0,Yes
CUST0188,65,Female,Islamabad,Basic,4972.0,23,44,10,6,89,8.0,No
CUST0189,48,Male,Islamabad,Basic,6858.0,46,59,0,10,5,4.0,No
CUST0190,68,Male,Lahore,Standard,3040.0,60,66,6,27,60,9.0,No
CUST0191,34,Male,Rawalpindi,Standard,7562.0,23,100,0,28,34,6.0,No
CUST0192,25,Female,Peshawar,Standard,4102.0,48,50,5,6,88,8.0,No
CUST0193,49,Female,Faisalabad,Basic,3977.0,47,11,6,20,69,3.0,Yes
CUST0194,36,Female,Karachi,Basic,5914.0,21,38,4,15,54,10.0,No
CUST0195,28,Female,Multan,Standard,6454.0,3,46,9,14,81,5.0,No
CUST0196,68,Male,Karachi,Premium,3827.0,41,47,8,26,3,3.0,Yes
CUST0197,27,Female,Lahore,Basic,2433.0,5,100,10,12,49,6.0,Yes
CUST0198,54,Male,Islamabad,Premium,3538.0,29,48,7,25,73,2.0,Yes
CUST0199,26,Female,Peshawar,Standard,2783.0,42,32,1,1,63,3.0,Yes
CUST0200,51,Female,Karachi,Standard,2632.0,50,91,7,7,36,10.0,No
CUST0201,62,Female,Rawalpindi,Basic,7486.0,9,10,7,6,11,8.0,No
CUST0202,69,Female,Multan,Premium,5005.0,5,70,4,29,20,5.0,No
CUST0203,63,Male,Multan,Premium,1494.0,15,26,2,8,3,8.0,No
CUST0204,41,Female,Quetta,Premium,5513.0,9,12,1,10,61,7.0,No
CUST0205,51,Female,Peshawar,Premium,1526.0,5,41,10,3,59,8.0,Yes
CUST0206,61,Female,Islamabad,Premium,5315.0,41,24,2,14,7,9.0,No
CUST0207,25,Male,Faisalabad,Basic,3143.0,11,91,3,12,36,9.0,No
CUST0208,23,Female,Rawalpindi,Premium,2748.0,36,17,10,10,68,10.0,No
CUST0209,23,Male,Islamabad,Basic,5615.0,43,93,9,11,5,10.0,No
CUST0210,70,Male,Karachi,Basic,6816.0,42,74,4,21,73,4.0,No
CUST0211,44,Male,Quetta,Premium,2872.0,35,83,4,16,87,4.0,Yes
CUST0212,43,Female,Quetta,Basic,990.0,45,21,7,14,59,8.0,No
CUST0213,31,Female,Islamabad,Standard,6384.0,56,41,5,13,47,3.0,No
CUST0214,50,Male,Multan,Basic,1503.0,30,35,7,8,12,3.0,Yes
CUST0215,21,Female,Peshawar,Premium,2533.0,27,21,5,30,40,10.0,No
CUST0216,30,Male,Quetta,Premium,4585.0,30,40,7,1,50,2.0,Yes
CUST0217,50,Female,Rawalpindi,Basic,3390.0,38,7,0,10,76,8.0,No
CUST0218,59,Female,Faisalabad,Premium,7440.0,1,14,6,5,46,5.0,Yes
CUST0219,66,Female,Multan,Basic,919.0,26,73,8,7,70,6.0,No
CUST0220,36,Male,Peshawar,Premium,6761.0,29,71,4,27,87,10.0,No
CUST0221,57,Male,Islamabad,Basic,3557.0,26,44,8,12,25,3.0,Yes
CUST0222,56,Female,Lahore,Basic,1622.0,3,92,5,26,66,8.0,No
CUST0223,47,Male,Islamabad,Standard,5522.0,60,41,2,13,38,10.0,No
CUST0224,55,Female,Quetta,Premium,2955.0,37,61,0,12,86,6.0,No
CUST0225,25,Female,Faisalabad,Premium,6136.0,56,81,0,20,33,8.0,No
CUST0226,59,Male,Lahore,Premium,1896.0,31,68,10,24,48,10.0,No
CUST0227,27,Male,Lahore,Premium,1400.0,45,25,0,15,53,6.0,No
CUST0228,27,Female,Rawalpindi,Standard,6848.0,33,79,7,28,90,1.0,Yes
CUST0229,26,Male,Multan,Premium,4804.0,31,49,5,6,68,8.0,No
CUST0230,39,Female,Faisalabad,Premium,2075.0,31,32,4,18,28,5.0,No
CUST0231,37,Female,Rawalpindi,Premium,4505.0,46,41,7,12,35,9.0,No
CUST0232,36,Male,Peshawar,Standard,3327.0,53,99,2,10,36,1.0,Yes
CUST0233,63,Male,Multan,Standard,2600.0,42,96,7,7,68,4.0,Yes
CUST0234,35,Female,Islamabad,Basic,6569.0,40,76,3,8,85,1.0,No
CUST0235,51,Male,Rawalpindi,Basic,3885.0,7,43,7,4,0,3.0,Yes
CUST0236,53,Male,Peshawar,Premium,7714.0,60,61,7,21,36,4.0,Yes
CUST0237,38,Female,Lahore,Basic,5203.0,42,30,8,24,22,1.0,No
CUST0238,44,Male,Lahore,Standard,4558.0,51,24,4,29,1,1.0,No
CUST0239,37,Male,Multan,Standard,5753.0,30,70,8,16,64,3.0,Yes
CUST0240,47,Female,Rawalpindi,Basic,1831.0,22,94,7,21,23,5.0,No
CUST0241,18,Female,Faisalabad,Premium,6703.0,44,25,2,20,54,7.0,No
CUST0242,50,Female,Karachi,Standard,1281.0,43,24,2,16,31,6.0,No
CUST0243,18,Female,Peshawar,Basic,6674.0,29,35,5,10,73,10.0,No
CUST0244,18,Female,Multan,Premium,1008.0,16,86,1,15,20,5.0,No
CUST0245,43,Female,Karachi,Premium,2916.0,59,48,9,8,17,4.0,Yes
CUST0246,48,Male,Quetta,Premium,3560.0,39,54,8,30,68,8.0,No
CUST0247,69,Male,Rawalpindi,Premium,5380.0,49,11,8,15,90,9.0,No
CUST0248,41,Male,Karachi,Basic,4986.0,54,65,3,19,19,9.0,No
CUST0249,28,Female,Quetta,Basic,2182.0,44,92,9,16,65,2.0,Yes
CUST0250,46,Male,Quetta,Basic,3903.0,33,59,9,2,59,9.0,Yes
CUST0251,61,Female,Lahore,Standard,7188.0,17,1,3,19,5,2.0,No
CUST0252,45,Female,Karachi,Premium,7825.0,4,9,7,2,52,5.0,Yes
CUST0253,29,Male,Peshawar,Standard,3633.0,58,58,6,13,87,2.0,Yes
CUST0254,60,Male,Multan,Basic,4901.0,12,51,8,5,0,4.0,Yes
CUST0255,66,Male,Faisalabad,Standard,,44,70,6,18,29,7.0,No
CUST0256,33,Female,Multan,Basic,2044.0,18,93,1,2,78,7.0,No
CUST0257,67,Male,Rawalpindi,Basic,1326.0,5,77,0,15,86,10.0,No
CUST0258,63,Male,Rawalpindi,Premium,3795.0,3,57,3,18,7,4.0,No
CUST0259,26,Female,Rawalpindi,Premium,3112.0,37,74,9,25,30,6.0,No
CUST0260,37,Male,Rawalpindi,Standard,2754.0,20,8,8,19,80,3.0,Yes
CUST0261,61,Female,Quetta,Basic,5770.0,23,86,6,26,40,9.0,No
CUST0262,62,Female,Peshawar,Basic,3583.0,20,24,8,16,28,4.0,Yes
CUST0263,37,Male,Quetta,Basic,3880.0,36,54,8,17,49,3.0,Yes
CUST0264,33,Female,Rawalpindi,Standard,1147.0,42,58,5,3,24,9.0,No
CUST0265,21,Female,Peshawar,Premium,5439.0,39,6,1,7,85,10.0,No
CUST0266,53,Male,Quetta,Basic,7930.0,56,43,4,30,27,1.0,No
CUST0267,30,Male,Quetta,Basic,5451.0,45,91,3,13,70,4.0,No
CUST0268,38,Female,Peshawar,Standard,5814.0,35,46,4,9,65,6.0,No
CUST0269,49,Female,Karachi,Premium,6739.0,31,41,3,12,52,6.0,No
CUST0270,20,Male,Islamabad,Basic,5032.0,17,75,9,24,37,7.0,No
CUST0271,27,Male,Multan,Basic,5167.0,25,32,7,18,32,6.0,No
CUST0272,66,Female,Quetta,Standard,6502.0,11,46,2,5,62,9.0,No
CUST0273,29,Male,Lahore,Basic,5974.0,53,7,0,14,80,3.0,No
CUST0274,32,Male,Islamabad,Basic,4642.0,14,59,5,2,81,10.0,No
CUST0275,60,Female,Quetta,Basic,4859.0,1,71,6,1,67,1.0,Yes
CUST0276,64,Female,Faisalabad,Basic,,33,90,10,14,13,3.0,No
CUST0277,24,Male,Rawalpindi,Basic,4812.0,40,33,5,9,10,7.0,No
CUST0278,41,Female,Quetta,Premium,6211.0,16,29,4,22,83,2.0,No
CUST0279,59,Male,Karachi,Standard,3589.0,25,71,7,2,89,1.0,Yes
CUST0280,28,Male,Quetta,Standard,6925.0,42,43,9,28,67,2.0,Yes
CUST0281,20,Male,Rawalpindi,Premium,5143.0,57,61,4,2,87,2.0,Yes
CUST0282,35,Male,Islamabad,Standard,2197.0,2,76,2,25,9,7.0,No
CUST0283,37,Male,Rawalpindi,Premium,7458.0,54,50,10,29,42,9.0,No
CUST0284,42,Male,Karachi,Premium,3333.0,48,7,1,14,9,4.0,No
CUST0285,39,Female,Multan,Basic,2739.0,41,58,7,8,70,6.0,No
CUST0286,42,Female,Islamabad,Premium,5912.0,38,49,1,25,37,10.0,No
CUST0287,69,Male,Karachi,Basic,1763.0,18,49,10,5,40,7.0,Yes
CUST0288,41,Male,Karachi,Basic,4143.0,20,47,4,4,11,3.0,Yes
CUST0289,29,Female,Quetta,Premium,4697.0,36,53,1,1,45,2.0,Yes
CUST0290,53,Male,Multan,Standard,2890.0,1,53,6,25,71,2.0,Yes
CUST0291,33,Male,Peshawar,Basic,2702.0,9,39,4,16,8,3.0,No
CUST0292,28,Female,Faisalabad,Standard,4466.0,20,10,5,9,80,4.0,Yes
CUST0293,49,Male,Quetta,Basic,2995.0,9,1,6,11,48,10.0,No
CUST0294,69,Female,Quetta,Standard,7180.0,28,84,9,5,41,5.0,Yes
CUST0295,56,Male,Quetta,Standard,3762.0,12,41,4,24,73,8.0,No
CUST0296,68,Male,Multan,Standard,7188.0,18,51,5,4,25,10.0,No
CUST0297,55,Male,Lahore,Premium,6302.0,30,27,7,26,88,5.0,No
CUST0298,22,Female,Quetta,Basic,2980.0,41,31,4,22,54,3.0,Yes
CUST0299,68,Female,Karachi,Standard,4425.0,39,75,6,18,88,9.0,No
CUST0300,44,Male,Multan,Premium,7154.0,58,69,9,21,13,2.0,No
CUST0301,67,Male,Multan,Basic,5519.0,42,6,9,21,42,7.0,No
CUST0302,68,Female,Karachi,Basic,2619.0,7,29,8,24,71,9.0,No
CUST0303,55,Male,Quetta,Standard,4293.0,26,99,10,19,19,9.0,No
CUST0304,40,Male,Quetta,Basic,3907.0,19,11,1,27,44,3.0,Yes
CUST0305,37,Female,Quetta,Basic,4456.0,34,45,7,4,89,8.0,Yes
CUST0306,46,Female,Karachi,Standard,7137.0,3,91,1,1,82,,No
CUST0307,24,Male,Rawalpindi,Premium,5021.0,12,21,5,18,59,7.0,No
CUST0308,32,Female,Islamabad,Basic,5884.0,41,56,6,1,25,10.0,No
CUST0309,46,Female,Peshawar,Basic,2259.0,46,27,4,25,73,2.0,Yes
CUST0310,24,Male,Multan,Standard,4248.0,13,15,4,22,67,8.0,No
CUST0311,58,Female,Peshawar,Premium,5308.0,26,15,5,12,79,8.0,No
CUST0312,29,Female,Karachi,Premium,3065.0,9,16,3,10,23,2.0,No
CUST0313,41,Male,Peshawar,Standard,1629.0,39,74,6,14,62,3.0,Yes
CUST0314,58,Male,Islamabad,Standard,1649.0,19,24,5,27,79,8.0,No
CUST0315,21,Female,Lahore,Standard,2098.0,9,50,8,17,52,8.0,No
CUST0316,61,Female,Peshawar,Premium,4136.0,54,63,2,3,3,10.0,No
CUST0317,68,Male,Faisalabad,Basic,2341.0,18,69,4,6,72,8.0,No
CUST0318,65,Female,Karachi,Premium,2694.0,8,100,8,27,69,6.0,No
CUST0319,70,Male,Quetta,Premium,3982.0,14,14,10,25,38,4.0,Yes
CUST0320,20,Female,Faisalabad,Standard,7190.0,56,12,7,28,30,2.0,Yes
CUST0321,31,Female,Peshawar,Basic,1640.0,40,27,3,26,72,1.0,Yes
CUST0322,40,Female,Islamabad,Standard,2897.0,46,38,9,9,86,9.0,No
CUST0323,70,Male,Islamabad,Standard,985.0,59,36,10,5,31,3.0,Yes
CUST0324,27,Female,Rawalpindi,Premium,4509.0,26,19,9,21,80,5.0,No
CUST0325,44,Female,Quetta,Basic,7009.0,41,99,1,13,35,9.0,No
CUST0326,62,Female,Quetta,Standard,5267.0,21,1,1,24,81,8.0,No
CUST0327,60,Female,Karachi,Premium,2284.0,26,55,3,16,41,5.0,No
